word,meaning,level
apple,りんご,1
book,本,1
car,車,1
desk,机,2
easy,簡単な,2
fish,魚,2
green,緑の,2
house,家,3
idea,考え,3
jump,跳ぶ,3
kind,親切な,4
light,光,4
music,音楽,4
night,夜,4
open,開く,5
play,遊ぶ,5
quick,速い,5
river,川,5
smile,ほほえむ,6
table,テーブル,6
under,〜の下に,6
visit,訪れる,6
water,水,7
young,若い,7
zebra,シマウマ,7
answer,答える,8
beautiful,美しい,8
change,変える,8
dream,夢,8
energy,エネルギー,9
future,未来,9
garden,庭,9
happy,幸せな,9
important,重要な,10
journey,旅,10
knowledge,知識,10
language,言語,10
market,市場,11
nature,自然,11
office,事務所,11
people,人々,11
question,質問,12
reason,理由,12
school,学校,12
teacher,先生,12
useful,役に立つ,13
value,価値,13
world,世界,13
active,活動的な,13
balance,バランス,14
create,創造する,14
develop,発展させる,14
effect,効果,14
focus,集中する,15
growth,成長,15
health,健康,15
increase,増やす,15
justice,正義,16
leader,指導者,16
memory,記憶,16
notice,気づく,16
option,選択肢,17
policy,方針,17
quality,質,17
result,結果,17
success,成功,18
travel,旅行する,18
update,更新する,18
vision,展望,18
wisdom,知恵,19
accept,受け入れる,19
benefit,利益,19
challenge,挑戦,19
detail,詳細,20
effort,努力,20
freedom,自由,20
global,世界的な,20
honest,正直な,21
imagine,想像する,21
justice,公正,21
culture,文化,22
digital,デジタルの,22
economy,経済,22
finance,財政,22
generate,生み出す,23
history,歴史,23
industry,産業,23
project,計画,23
resource,資源,24
strategy,戦略,24
technology,技術,24
universe,宇宙,24
volunteer,ボランティア,25
weather,天気,25
yesterday,昨日,25
ability,能力,25
compare,比較する,26
discover,発見する,26
explain,説明する,26
finally,ついに,26
